week1,lumber
2016-01-03,28
2016-01-10,27
2016-01-17,27
2016-01-24,28
2016-01-31,30
2016-02-07,30
2016-02-14,32
2016-02-21,41
2016-02-28,34
2016-03-06,34
2016-03-13,34
2016-03-20,34
2016-03-27,34
2016-04-03,34
2016-04-10,36
2016-04-17,36
2016-04-24,35
2016-05-01,34
2016-05-08,37
2016-05-15,35
2016-05-22,37
2016-05-29,36
2016-06-05,34
2016-06-12,36
2016-06-19,37
2016-06-26,36
2016-07-03,35
2016-07-10,35
2016-07-17,34
2016-07-24,35
2016-07-31,34
2016-08-07,34
2016-08-14,33
2016-08-21,34
2016-08-28,34
2016-09-04,35
2016-09-11,32
2016-09-18,32
2016-09-25,33
2016-10-02,32
2016-10-09,33
2016-10-16,32
2016-10-23,30
2016-10-30,31
2016-11-06,28
2016-11-13,31
2016-11-20,28
2016-11-27,28
2016-12-04,26
2016-12-11,26
2016-12-18,25
2016-12-25,27
2017-01-01,28
2017-01-08,29
2017-01-15,29
2017-01-22,30
2017-01-29,31
2017-02-05,100
2017-02-12,32
2017-02-19,33
2017-02-26,32
2017-03-05,34
2017-03-12,33
2017-03-19,34
2017-03-26,35
2017-04-02,35
2017-04-09,37
2017-04-16,37
2017-04-23,40
2017-04-30,36
2017-05-07,36
2017-05-14,35
2017-05-21,37
2017-05-28,36
2017-06-04,37
2017-06-11,36
2017-06-18,38
2017-06-25,40
2017-07-02,39
2017-07-09,37
2017-07-16,36
2017-07-23,36
2017-07-30,37
2017-08-06,37
2017-08-13,35
2017-08-20,35
2017-08-27,35
2017-09-03,38
2017-09-10,33
2017-09-17,35
2017-09-24,34
2017-10-01,33
2017-10-08,33
2017-10-15,33
2017-10-22,33
2017-10-29,32
2017-11-05,30
2017-11-12,32
2017-11-19,29
2017-11-26,30
2017-12-03,28
2017-12-10,27
2017-12-17,26
2017-12-24,26
2017-12-31,28
2018-01-07,28
2018-01-14,29
2018-01-21,30
2018-01-28,29
2018-02-04,29
2018-02-11,29
2018-02-18,32
2018-02-25,31
2018-03-04,33
2018-03-11,32
2018-03-18,33
2018-03-25,34
2018-04-01,34
2018-04-08,34
2018-04-15,35
2018-04-22,36
2018-04-29,36
2018-05-06,38
2018-05-13,35
2018-05-20,37
2018-05-27,37
2018-06-03,37
2018-06-10,37
2018-06-17,35
2018-06-24,37
2018-07-01,36
2018-07-08,37
2018-07-15,36
2018-07-22,36
2018-07-29,36
2018-08-05,34
2018-08-12,34
2018-08-19,35
2018-08-26,34
2018-09-02,34
2018-09-09,34
2018-09-16,33
2018-09-23,32
2018-09-30,32
2018-10-07,31
2018-10-14,31
2018-10-21,30
2018-10-28,32
2018-11-04,28
2018-11-11,31
2018-11-18,27
2018-11-25,29
2018-12-02,28
2018-12-09,27
2018-12-16,26
2018-12-23,25
2018-12-30,30
2019-01-06,28
2019-01-13,27
2019-01-20,29
2019-01-27,28
2019-02-03,29
2019-02-10,30
2019-02-17,29
2019-02-24,29
2019-03-03,31
2019-03-10,33
2019-03-17,35
2019-03-24,35
2019-03-31,37
2019-04-07,36
2019-04-14,37
2019-04-21,35
2019-04-28,36
2019-05-05,35
2019-05-12,34
2019-05-19,37
2019-05-26,37
2019-06-02,38
2019-06-09,38
2019-06-16,37
2019-06-23,37
2019-06-30,35
2019-07-07,36
2019-07-14,35
2019-07-21,35
2019-07-28,35
2019-08-04,35
2019-08-11,36
2019-08-18,36
2019-08-25,35
2019-09-01,35
2019-09-08,34
2019-09-15,33
2019-09-22,32
2019-09-29,33
2019-10-06,31
2019-10-13,33
2019-10-20,31
2019-10-27,29
2019-11-03,30
2019-11-10,29
2019-11-17,29
2019-11-24,26
2019-12-01,25
2019-12-08,25
2019-12-15,24
2019-12-22,25
2019-12-29,30
2020-01-05,28
2020-01-12,28
2020-01-19,30
2020-01-26,30
2020-02-02,28
2020-02-09,29
2020-02-16,32
2020-02-23,31
2020-03-01,31
2020-03-08,30
2020-03-15,30
2020-03-22,34
2020-03-29,37
2020-04-05,39
2020-04-12,42
2020-04-19,48
2020-04-26,50
2020-05-03,50
2020-05-10,49
2020-05-17,53
2020-05-24,53
2020-05-31,48
2020-06-07,49
2020-06-14,51
2020-06-21,48
2020-06-28,48
2020-07-05,46
2020-07-12,45
2020-07-19,44
2020-07-26,44
2020-08-02,43
2020-08-09,45
2020-08-16,43
2020-08-23,42
2020-08-30,42
2020-09-06,42
2020-09-13,41
2020-09-20,40
2020-09-27,40
2020-10-04,40
2020-10-11,42
2020-10-18,39
2020-10-25,36
2020-11-01,30
2020-11-08,35
2020-11-15,35
2020-11-22,31
2020-11-29,33
