week1,lumber_price
2016-01-03,29
2016-01-10,28
2016-01-17,34
2016-01-24,20
2016-01-31,48
2016-02-07,20
2016-02-14,26
2016-02-21,35
2016-02-28,27
2016-03-06,33
2016-03-13,26
2016-03-20,42
2016-03-27,57
2016-04-03,20
2016-04-10,33
2016-04-17,28
2016-04-24,35
2016-05-01,30
2016-05-08,31
2016-05-15,24
2016-05-22,37
2016-05-29,43
2016-06-05,21
2016-06-12,27
2016-06-19,32
2016-06-26,19
2016-07-03,39
2016-07-10,25
2016-07-17,30
2016-07-24,35
2016-07-31,36
2016-08-07,31
2016-08-14,32
2016-08-21,35
2016-08-28,32
2016-09-04,48
2016-09-11,31
2016-09-18,36
2016-09-25,25
2016-10-02,25
2016-10-09,34
2016-10-16,28
2016-10-23,25
2016-10-30,30
2016-11-06,34
2016-11-13,30
2016-11-20,18
2016-11-27,23
2016-12-04,21
2016-12-11,38
2016-12-18,8
2016-12-25,21
2017-01-01,20
2017-01-08,26
2017-01-15,40
2017-01-22,35
2017-01-29,32
2017-02-05,55
2017-02-12,29
2017-02-19,51
2017-02-26,31
2017-03-05,31
2017-03-12,41
2017-03-19,21
2017-03-26,19
2017-04-02,46
2017-04-09,46
2017-04-16,54
2017-04-23,60
2017-04-30,23
2017-05-07,38
2017-05-14,23
2017-05-21,30
2017-05-28,28
2017-06-04,47
2017-06-11,43
2017-06-18,46
2017-06-25,34
2017-07-02,40
2017-07-09,15
2017-07-16,23
2017-07-23,39
2017-07-30,39
2017-08-06,24
2017-08-13,32
2017-08-20,34
2017-08-27,38
2017-09-03,35
2017-09-10,40
2017-09-17,25
2017-09-24,26
2017-10-01,21
2017-10-08,48
2017-10-15,23
2017-10-22,37
2017-10-29,35
2017-11-05,22
2017-11-12,25
2017-11-19,29
2017-11-26,38
2017-12-03,29
2017-12-10,34
2017-12-17,27
2017-12-24,13
2017-12-31,39
2018-01-07,23
2018-01-14,11
2018-01-21,40
2018-01-28,33
2018-02-04,35
2018-02-11,31
2018-02-18,14
2018-02-25,42
2018-03-04,44
2018-03-11,34
2018-03-18,25
2018-03-25,28
2018-04-01,39
2018-04-08,20
2018-04-15,44
2018-04-22,40
2018-04-29,50
2018-05-06,43
2018-05-13,46
2018-05-20,50
2018-05-27,31
2018-06-03,52
2018-06-10,53
2018-06-17,35
2018-06-24,47
2018-07-01,39
2018-07-08,35
2018-07-15,31
2018-07-22,31
2018-07-29,31
2018-08-05,52
2018-08-12,34
2018-08-19,31
2018-08-26,59
2018-09-02,26
2018-09-09,36
2018-09-16,41
2018-09-23,29
2018-09-30,25
2018-10-07,28
2018-10-14,23
2018-10-21,32
2018-10-28,12
2018-11-04,31
2018-11-11,25
2018-11-18,14
2018-11-25,29
2018-12-02,34
2018-12-09,23
2018-12-16,12
2018-12-23,5
2018-12-30,41
2019-01-06,45
2019-01-13,33
2019-01-20,20
2019-01-27,33
2019-02-03,36
2019-02-10,37
2019-02-17,30
2019-02-24,32
2019-03-03,42
2019-03-10,43
2019-03-17,27
2019-03-24,43
2019-03-31,63
2019-04-07,31
2019-04-14,44
2019-04-21,37
2019-04-28,30
2019-05-05,39
2019-05-12,44
2019-05-19,28
2019-05-26,40
2019-06-02,46
2019-06-09,37
2019-06-16,38
2019-06-23,26
2019-06-30,27
2019-07-07,42
2019-07-14,37
2019-07-21,29
2019-07-28,24
2019-08-04,36
2019-08-11,28
2019-08-18,25
2019-08-25,18
2019-09-01,32
2019-09-08,40
2019-09-15,25
2019-09-22,23
2019-09-29,30
2019-10-06,38
2019-10-13,32
2019-10-20,21
2019-10-27,34
2019-11-03,29
2019-11-10,22
2019-11-17,21
2019-11-24,15
2019-12-01,24
2019-12-08,10
2019-12-15,11
2019-12-22,19
2019-12-29,16
2020-01-05,37
2020-01-12,27
2020-01-19,29
2020-01-26,46
2020-02-02,34
2020-02-09,30
2020-02-16,31
2020-02-23,41
2020-03-01,36
2020-03-08,36
2020-03-15,30
2020-03-22,47
2020-03-29,29
2020-04-05,65
2020-04-12,72
2020-04-19,47
2020-04-26,48
2020-05-03,62
2020-05-10,54
2020-05-17,29
2020-05-24,58
2020-05-31,31
2020-06-07,30
2020-06-14,42
2020-06-21,43
2020-06-28,38
2020-07-05,33
2020-07-12,36
2020-07-19,42
2020-07-26,54
2020-08-02,46
2020-08-09,67
2020-08-16,64
2020-08-23,77
2020-08-30,77
2020-09-06,85
2020-09-13,81
2020-09-20,100
2020-09-27,70
2020-10-04,90
2020-10-11,47
2020-10-18,78
2020-10-25,83
2020-11-01,48
2020-11-08,57
2020-11-15,52
2020-11-22,56
2020-11-29,51
