month,price
2020-11,264.20
2020-10,302.70
2020-09,321.40
2020-08,266.60
2020-07,241.10
2020-06,225.10
2020-05,211.00
2020-04,204.50
2020-03,222.10
2020-02,215.20
2020-01,209.60
2019-12,210.00
2019-11,208.30
2019-10,208.60
2019-09,210.90
2019-08,208.90
2019-07,209.90
2019-06,205.60
2019-05,210.80
2019-04,212.60
2019-03,213.50
2019-02,215.80
2019-01,210.00
2018-12,211.20
2018-11,209.20
2018-10,214.20
2018-09,228.00
2018-08,231.70
2018-07,248.00
2018-06,254.50
2018-05,249.30
2018-04,238.40
2018-03,240.30
2018-02,237.00
2018-01,225.30
2017-12,223.60
2017-11,224.60
2017-10,223.60
2017-09,220.70
2017-08,222.10
2017-07,216.90
2017-06,216.10
2017-05,218.30
2017-04,215.90
2017-03,211.80
2017-02,210.10
2017-01,203.10
2016-12,203.10
2016-11,203.50
2016-10,204.90
2016-09,205.40
2016-08,206.30
2016-07,204.80
2016-06,203.60
2016-05,203.20
2016-04,201.70
2016-03,196.80
2016-02,193.80
2016-01,194.10
